order_id,customer_id,restaurant,city,order_date,delivery_time_minutes,item,quantity,price,discount,payment_method,rating
77,1366,Kebab House,Alex,2024-01-04 04:00:00,30.0,Pasta,4,205,23,Cash,2.0
78,1955,Kebab House,Giza,2024-01-04 05:00:00,40.0,Pasta,3,144,1,Wallet,5.0
79,1454,Sushi World,cairo,2024-01-04 06:00:00,37.0,Kebab,2,148,13,Card,5.0
80,1427,Kebab House,Cairo,2024-01-04 07:00:00,40.0,Pizza,2,216,23,Wallet,5.0
81,1508,Pasta Point,Cairo,2024-01-04 08:00:00,37.0,Kebab,4,91,5,Cash,
82,1775,Pasta Point,alex,2024-01-04 09:00:00,50.0,Sushi,2,200,8,Cash,1.0
83,1942,Sushi World,CAIRO,2024-01-04 10:00:00,23.0,Burger,1,119,27,Wallet,5.0
84,1034,Pasta Point,alex,2024-01-04 11:00:00,26.0,Pizza,4,257,6,Card,4.0
85,1205,Burger Town,alex,2024-01-04 12:00:00,25.0,Sushi,3,51,17,Cash,4.0
86,1080,Sushi World,Cairo,2024-01-04 13:00:00,44.0,Pizza,4,201,23,Card,1.0
87,1931,Burger Town,Giza,2024-01-04 14:00:00,45.0,Pasta,4,194,8,Card,5.0
88,1561,Pizza Hub,Alex,2024-01-04 15:00:00,40.0,Kebab,3,158,22,Wallet,3.0
89,1871,Burger Town,Alex,2024-01-04 16:00:00,49.0,Pasta,2,114,3,Cash,5.0
90,1387,Pizza Hub,Alex,2024-01-04 17:00:00,20.0,Burger,3,119,8,Wallet,4.0
91,1001,Pizza Hub,cairo,2024-01-04 18:00:00,55.0,Pasta,1,118,3,Cash,2.0
92,1389,Burger Town,Cairo,2024-01-04 19:00:00,53.0,Pizza,2,170,11,Wallet,
93,1565,Sushi World,Giza,2024-01-04 20:00:00,43.0,Pasta,4,158,3,Cash,3.0
94,1105,Pasta Point,cairo,2024-01-04 21:00:00,56.0,Pizza,2,109,24,Cash,5.0
95,1771,Pasta Point,CAIRO,2024-01-04 22:00:00,15.0,Burger,2,296,29,Cash,
96,1821,Pizza Hub,Giza,2024-01-04 23:00:00,28.0,Pasta,1,227,23,Card,5.0
97,1476,Pizza Hub,alex,2024-01-05 00:00:00,26.0,Kebab,2,142,19,Card,3.0
98,1702,Sushi World,Giza,2024-01-05 01:00:00,43.0,Kebab,2,61,13,Wallet,3.0
99,1401,Kebab House,Giza,2024-01-05 02:00:00,22.0,Kebab,2,152,23,Wallet,3.0
100,1729,Burger Town,Alex,2024-01-05 03:00:00,44.0,Pasta,4,224,23,Cash,
101,1555,Pizza Hub,Giza,2024-01-05 04:00:00,51.0,Pasta,2,244,6,Cash,
102,1161,Pasta Point,alex,2024-01-05 05:00:00,43.0,Pasta,3,161,25,Card,5.0
103,1201,Sushi World,alex,2024-01-05 06:00:00,38.0,Pizza,2,114,12,Card,1.0
104,1957,Burger Town,Cairo,2024-01-05 07:00:00,23.0,Burger,1,204,21,Card,3.0
105,1995,Sushi World,Giza,2024-01-05 08:00:00,24.0,Kebab,2,97,7,Wallet,3.0
106,1269,Burger Town,Alex,2024-01-05 09:00:00,49.0,Pizza,2,137,22,Card,4.0
107,1862,Burger Town,Giza,2024-01-05 10:00:00,44.0,Kebab,4,111,4,Wallet,4.0
108,1815,Pizza Hub,CAIRO,2024-01-05 11:00:00,34.0,Pizza,3,93,11,Card,2.0
109,1270,Sushi World,CAIRO,2024-01-05 12:00:00,29.0,Pasta,2,196,12,Card,5.0
110,1455,Sushi World,Alex,2024-01-05 13:00:00,10.0,Kebab,3,236,28,Cash,1.0
111,1461,Pasta Point,Cairo,2024-01-05 14:00:00,22.0,Pasta,1,185,19,Wallet,1.0
112,1726,Pasta Point,Cairo,2024-01-05 15:00:00,57.0,Kebab,4,104,13,Card,3.0
113,1251,Pizza Hub,alex,2024-01-05 16:00:00,19.0,Sushi,3,157,27,Cash,1.0
114,1701,Pizza Hub,alex,2024-01-05 17:00:00,,Pizza,4,96,17,Wallet,3.0
115,1295,Kebab House,cairo,2024-01-05 18:00:00,47.0,Sushi,2,51,26,Wallet,5.0
116,1724,Pasta Point,Alex,2024-01-05 19:00:00,19.0,Pizza,1,271,23,Card,1.0
117,1719,Burger Town,Giza,2024-01-05 20:00:00,37.0,Burger,4,271,24,Wallet,3.0
118,1748,Sushi World,Alex,2024-01-05 21:00:00,46.0,Kebab,2,162,19,Cash,5.0
119,1337,Pizza Hub,cairo,2024-01-05 22:00:00,35.0,Burger,3,216,3,Cash,5.0
120,1878,Sushi World,alex,2024-01-05 23:00:00,69.0,Burger,1,222,20,Wallet,3.0
121,1052,Sushi World,Alex,2024-01-06 00:00:00,14.0,Pizza,1,209,17,Cash,3.0
122,1791,Kebab House,Alex,2024-01-06 01:00:00,47.0,Sushi,3,242,6,Wallet,2.0
123,1921,Pasta Point,alex,2024-01-06 02:00:00,32.0,Pasta,3,215,14,Cash,5.0
124,1216,Pizza Hub,cairo,2024-01-06 03:00:00,44.0,Pizza,1,254,20,Wallet,3.0
125,1763,Sushi World,alex,2024-01-06 04:00:00,,Pasta,4,60,5,Wallet,5.0
126,1187,Pizza Hub,Cairo,2024-01-06 05:00:00,26.0,Burger,1,187,15,Wallet,1.0
127,1379,Burger Town,Giza,2024-01-06 06:00:00,37.0,Pasta,3,161,19,Cash,4.0
128,1492,Kebab House,alex,2024-01-06 07:00:00,12.0,Sushi,4,236,23,Wallet,4.0
129,1040,Burger Town,cairo,2024-01-06 08:00:00,42.0,Pizza,2,139,7,Wallet,3.0
130,1156,Pizza Hub,CAIRO,2024-01-06 09:00:00,,Sushi,1,297,27,Card,3.0
131,1014,Pizza Hub,Cairo,2024-01-06 10:00:00,42.0,Sushi,3,104,20,Card,5.0
132,1812,Pasta Point,CAIRO,2024-01-06 11:00:00,47.0,Pizza,2,197,15,Wallet,3.0
133,1064,Sushi World,alex,2024-01-06 12:00:00,39.0,Sushi,1,258,27,Card,5.0
134,1856,Sushi World,Cairo,2024-01-06 13:00:00,36.0,Kebab,1,66,21,Wallet,3.0
135,1838,Burger Town,,2024-01-06 14:00:00,24.0,Kebab,4,117,15,Card,5.0
136,1520,Kebab House,alex,2024-01-06 15:00:00,26.0,Kebab,3,182,2,Cash,3.0
137,1343,Sushi World,Giza,2024-01-06 16:00:00,,Pasta,2,237,16,Cash,2.0
138,1128,Pasta Point,Alex,2024-01-06 17:00:00,52.0,Sushi,1,200,8,Wallet,5.0
139,1647,Burger Town,CAIRO,2024-01-06 18:00:00,32.0,Pizza,4,223,24,Wallet,2.0
140,1471,Burger Town,,2024-01-06 19:00:00,35.0,Pizza,2,101,2,Cash,2.0
141,1062,Pasta Point,Giza,2024-01-06 20:00:00,24.0,Pasta,2,187,19,Cash,2.0
142,1138,Kebab House,cairo,2024-01-06 21:00:00,49.0,Pizza,1,223,28,Card,2.0
143,1498,Pasta Point,Giza,2024-01-06 22:00:00,42.0,Kebab,2,205,6,Wallet,1.0
144,1592,Kebab House,cairo,2024-01-06 23:00:00,58.0,Sushi,1,146,17,Cash,4.0
145,1391,Pasta Point,alex,2024-01-07 00:00:00,24.0,Pizza,4,220,11,Cash,
146,1674,Pasta Point,Cairo,2024-01-07 01:00:00,30.0,Pizza,4,203,18,Wallet,3.0
147,1418,Pizza Hub,Giza,2024-01-07 02:00:00,37.0,Burger,2,232,15,Card,3.0
148,1288,Burger Town,Giza,2024-01-07 03:00:00,42.0,Burger,1,291,21,Card,
149,1378,Pasta Point,Cairo,2024-01-07 04:00:00,32.0,Burger,3,97,26,Card,4.0
150,1772,Pasta Point,Giza,2024-01-07 05:00:00,259.0,Sushi,4,78,23,Card,4.0
151,1489,Sushi World,cairo,2024-01-07 06:00:00,45.0,Kebab,1,76,16,Cash,2.0
152,1230,Burger Town,Giza,2024-01-07 07:00:00,43.0,Kebab,1,195,19,Wallet,1.0
153,1040,Sushi World,CAIRO,2024-01-07 08:00:00,24.0,Kebab,1,153,14,Wallet,3.0
154,1027,Burger Town,alex,2024-01-07 09:00:00,51.0,Sushi,2,109,0,Cash,1.0
155,1134,Sushi World,Alex,2024-01-07 10:00:00,49.0,Sushi,3,251,1,Cash,1.0
156,1200,Pasta Point,cairo,2024-01-07 11:00:00,36.0,Burger,2,299,7,Cash,1.0
157,1839,Pasta Point,CAIRO,2024-01-07 12:00:00,35.0,Pizza,4,155,21,Wallet,4.0
158,1779,Pizza Hub,,2024-01-07 13:00:00,41.0,Pasta,2,118,24,Wallet,4.0
159,1929,Sushi World,Cairo,2024-01-07 14:00:00,24.0,Pasta,1,251,1,Wallet,3.0
160,1032,Kebab House,cairo,2024-01-07 15:00:00,35.0,Pizza,2,163,18,Card,3.0
161,1047,Pizza Hub,Alex,2024-01-07 16:00:00,9.0,Burger,1,70,8,Cash,3.0
162,1502,Sushi World,alex,2024-01-07 17:00:00,45.0,Pizza,3,201,8,Cash,1.0
163,1406,Sushi World,Alex,2024-01-07 18:00:00,16.0,Pizza,2,151,12,Cash,4.0
164,1573,Pizza Hub,Cairo,2024-01-07 19:00:00,53.0,Pasta,2,180,5,Wallet,2.0
165,1727,Pasta Point,Cairo,2024-01-07 20:00:00,31.0,Burger,2,281,29,Cash,1.0
166,1804,Sushi World,cairo,2024-01-07 21:00:00,32.0,Sushi,1,144,14,Cash,5.0
167,1098,Pasta Point,Giza,2024-01-07 22:00:00,27.0,Pasta,1,239,18,Card,1.0
168,1683,Pizza Hub,Cairo,2024-01-07 23:00:00,31.0,Sushi,2,154,20,Wallet,4.0
169,1871,Pasta Point,alex,2024-01-08 00:00:00,52.0,Burger,2,278,14,Cash,5.0
170,1725,Burger Town,Giza,2024-01-08 01:00:00,5.0,Pizza,3,174,17,Wallet,1.0
171,1986,Kebab House,CAIRO,2024-01-08 02:00:00,50.0,Kebab,3,51,6,Wallet,4.0
172,1546,Sushi World,Alex,2024-01-08 03:00:00,39.0,Kebab,4,115,25,Wallet,4.0
173,1960,Kebab House,Giza,2024-01-08 04:00:00,20.0,Burger,3,280,10,Card,2.0
174,1738,Pasta Point,Alex,2024-01-08 05:00:00,22.0,Kebab,3,162,7,Wallet,1.0
175,1612,Sushi World,Giza,2024-01-08 06:00:00,55.0,Sushi,3,219,5,Wallet,4.0
176,1942,Pasta Point,CAIRO,2024-01-08 07:00:00,23.0,Kebab,1,285,7,Wallet,3.0
177,1461,Burger Town,Cairo,2024-01-08 08:00:00,21.0,Burger,3,211,1,Cash,4.0
178,1642,Pizza Hub,CAIRO,2024-01-08 09:00:00,48.0,Burger,3,91,18,Card,2.0
179,1768,Sushi World,Cairo,2024-01-08 10:00:00,39.0,Sushi,2,69,15,Cash,4.0
180,1004,Burger Town,Cairo,2024-01-08 11:00:00,23.0,Kebab,1,146,6,Card,1.0
181,1217,Burger Town,,2024-01-08 12:00:00,37.0,Kebab,4,117,9,Card,1.0
182,1502,Sushi World,alex,2024-01-08 13:00:00,22.0,Pizza,4,222,11,Wallet,5.0
183,1766,Pasta Point,CAIRO,2024-01-08 14:00:00,48.0,Pasta,3,285,16,Wallet,1.0
184,1397,Burger Town,Giza,2024-01-08 15:00:00,47.0,Burger,4,124,6,Cash,5.0
185,1870,Kebab House,CAIRO,2024-01-08 16:00:00,41.0,Pizza,4,174,21,Card,3.0
186,1794,Burger Town,Alex,2024-01-08 17:00:00,39.0,Burger,4,219,7,Wallet,2.0
187,1392,Pasta Point,Cairo,2024-01-08 18:00:00,56.0,Pizza,3,96,6,Wallet,3.0
188,1206,Pasta Point,Alex,2024-01-08 19:00:00,34.0,Pasta,4,54,3,Wallet,5.0
189,1014,Kebab House,cairo,2024-01-08 20:00:00,20.0,Pizza,3,266,2,Wallet,4.0
190,1857,Burger Town,cairo,2024-01-08 21:00:00,40.0,Burger,2,98,18,Cash,4.0
191,1553,Pasta Point,Giza,2024-01-08 22:00:00,60.0,Kebab,2,173,14,Cash,3.0
192,1891,Sushi World,Alex,2024-01-08 23:00:00,208.0,Burger,4,86,3,Wallet,4.0
193,1460,Pizza Hub,Giza,2024-01-09 00:00:00,30.0,Sushi,2,211,24,Wallet,5.0
194,1690,Pizza Hub,Giza,2024-01-09 01:00:00,39.0,Sushi,3,250,8,Wallet,2.0
195,1574,Pizza Hub,cairo,2024-01-09 02:00:00,34.0,Sushi,2,247,12,Wallet,1.0
196,1863,Burger Town,Giza,2024-01-09 03:00:00,23.0,Sushi,4,195,17,Wallet,5.0
197,1742,Kebab House,cairo,2024-01-09 04:00:00,48.0,Pasta,3,255,20,Card,5.0
198,1240,Pasta Point,Cairo,2024-01-09 05:00:00,62.0,Kebab,1,68,15,Card,1.0
199,1563,Sushi World,Alex,2024-01-09 06:00:00,37.0,Kebab,3,255,0,Card,1.0
200,1095,Sushi World,,2024-01-09 07:00:00,24.0,Burger,2,89,3,Card,2.0
201,1899,Burger Town,cairo,2024-01-09 08:00:00,16.0,Pizza,1,66,17,Wallet,2.0
202,1733,Pizza Hub,CAIRO,2024-01-09 09:00:00,38.0,Burger,3,237,7,Card,2.0
203,1484,Burger Town,Giza,2024-01-09 10:00:00,48.0,Burger,1,148,19,Card,4.0
204,1406,Kebab House,alex,2024-01-09 11:00:00,,Burger,1,142,15,Cash,5.0
205,1230,Kebab House,Cairo,2024-01-09 12:00:00,34.0,Burger,1,91,20,Card,1.0
206,1748,Pasta Point,Cairo,2024-01-09 13:00:00,27.0,Kebab,3,258,10,Card,5.0
207,1654,Pasta Point,CAIRO,2024-01-09 14:00:00,21.0,Pizza,2,172,19,Wallet,5.0
208,1170,Kebab House,cairo,2024-01-09 15:00:00,45.0,Burger,3,156,20,Card,2.0
209,1540,Kebab House,Giza,2024-01-09 16:00:00,45.0,Kebab,2,121,20,Card,2.0
210,1035,Kebab House,cairo,2024-01-09 17:00:00,16.0,Burger,3,114,20,Wallet,5.0
211,1524,Burger Town,Cairo,2024-01-09 18:00:00,54.0,Sushi,3,158,26,Card,2.0
212,1159,Kebab House,cairo,2024-01-09 19:00:00,41.0,Burger,3,102,18,Wallet,4.0
213,1838,Sushi World,,2024-01-09 20:00:00,51.0,Burger,2,277,22,Card,1.0
214,1698,Pizza Hub,cairo,2024-01-09 21:00:00,18.0,Pasta,3,184,18,Cash,5.0
215,1242,Kebab House,CAIRO,2024-01-09 22:00:00,18.0,Sushi,1,287,17,Cash,1.0
216,1085,Pizza Hub,Alex,2024-01-09 23:00:00,33.0,Pizza,3,182,18,Card,4.0
217,1795,Burger Town,CAIRO,2024-01-10 00:00:00,41.0,Burger,1,73,10,Cash,2.0
218,1577,Pizza Hub,CAIRO,2024-01-10 01:00:00,56.0,Pizza,4,77,2,Wallet,
219,1681,Burger Town,Alex,2024-01-10 02:00:00,,Sushi,4,111,7,Card,4.0
220,1556,Sushi World,Alex,2024-01-10 03:00:00,32.0,Burger,2,284,19,Wallet,3.0
221,1573,Burger Town,Giza,2024-01-10 04:00:00,22.0,Pasta,2,66,18,Cash,1.0
222,1952,Burger Town,Giza,2024-01-10 05:00:00,49.0,Kebab,4,278,9,Wallet,5.0
223,1645,Pasta Point,CAIRO,2024-01-10 06:00:00,23.0,Pasta,3,69,15,Cash,2.0
224,1795,Kebab House,,2024-01-10 07:00:00,,Pasta,3,52,4,Cash,4.0
225,1027,Kebab House,Cairo,2024-01-10 08:00:00,31.0,Kebab,3,214,19,Cash,2.0
226,1619,Sushi World,Cairo,2024-01-10 09:00:00,54.0,Kebab,39,267,8,Wallet,3.0
227,1555,Sushi World,Giza,2024-01-10 10:00:00,43.0,Kebab,1,192,7,Cash,3.0
228,1339,Kebab House,alex,2024-01-10 11:00:00,33.0,Burger,2,100,10,Card,5.0
229,1797,Pasta Point,alex,2024-01-10 12:00:00,28.0,Pizza,1,225,15,Cash,3.0
230,1957,Kebab House,Giza,2024-01-10 13:00:00,30.0,Pizza,4,185,6,Card,5.0
231,1330,Pasta Point,Cairo,2024-01-10 14:00:00,40.0,Kebab,1,190,14,Card,4.0
232,1639,Sushi World,Cairo,2024-01-10 15:00:00,35.0,Pasta,3,225,23,Card,5.0
233,1505,Pizza Hub,alex,2024-01-10 16:00:00,27.0,Sushi,3,52,28,Card,3.0
234,1347,Sushi World,cairo,2024-01-10 17:00:00,33.0,Kebab,1,242,20,Wallet,1.0
235,1472,Sushi World,cairo,2024-01-10 18:00:00,35.0,Pasta,4,122,19,Card,
236,1230,Burger Town,Cairo,2024-01-10 19:00:00,9.0,Pasta,1,208,22,Cash,2.0
237,1189,Burger Town,cairo,2024-01-10 20:00:00,40.0,Burger,3,154,16,Card,1.0
238,1224,Burger Town,Alex,2024-01-10 21:00:00,23.0,Burger,3,167,5,Cash,5.0
239,1384,Burger Town,Giza,2024-01-10 22:00:00,21.0,Pizza,4,203,14,Wallet,2.0
240,1376,Pasta Point,Giza,2024-01-10 23:00:00,14.0,Pizza,1,258,7,Card,1.0
241,1282,Kebab House,Cairo,2024-01-11 00:00:00,13.0,Sushi,3,233,6,Cash,5.0
242,1957,Pizza Hub,CAIRO,2024-01-11 01:00:00,18.0,Sushi,3,83,1,Wallet,4.0
243,1632,Sushi World,alex,2024-01-11 02:00:00,26.0,Sushi,1,186,29,Wallet,2.0
244,1627,Pasta Point,Cairo,2024-01-11 03:00:00,58.0,Sushi,1,111,12,Cash,4.0
245,1972,Pizza Hub,cairo,2024-01-11 04:00:00,28.0,Pasta,2,169,29,Card,3.0
246,1744,Pasta Point,alex,2024-01-11 05:00:00,37.0,Pasta,4,164,22,Wallet,5.0
247,1258,Pasta Point,,2024-01-11 06:00:00,39.0,Pizza,4,62,28,Cash,5.0
248,1358,Sushi World,,2024-01-11 07:00:00,36.0,Burger,1,118,5,Card,2.0
249,1709,Kebab House,Alex,2024-01-11 08:00:00,34.0,Burger,4,218,28,Wallet,5.0
250,1455,Burger Town,cairo,2024-01-11 09:00:00,20.0,Kebab,3,126,4,Cash,3.0
251,1410,Kebab House,,2024-01-11 10:00:00,52.0,Pasta,1,50,19,Wallet,5.0
252,1648,Sushi World,alex,2024-01-11 11:00:00,56.0,Sushi,1,138,0,Wallet,1.0
253,1317,Sushi World,Alex,2024-01-11 12:00:00,14.0,Sushi,1,96,28,Cash,4.0
254,1676,Sushi World,alex,2024-01-11 13:00:00,22.0,Kebab,2,53,17,Wallet,
255,1224,Pizza Hub,alex,2024-01-11 14:00:00,31.0,Burger,4,277,14,Cash,3.0
256,1818,Kebab House,,2024-01-11 15:00:00,23.0,Sushi,2,240,22,Card,4.0
257,1233,Kebab House,alex,2024-01-11 16:00:00,41.0,Burger,3,229,9,Cash,4.0
258,1683,Pasta Point,alex,2024-01-11 17:00:00,26.0,Kebab,4,59,2,Card,3.0
259,1663,Pasta Point,cairo,2024-01-11 18:00:00,60.0,Burger,2,77,4,Wallet,4.0
260,1974,Pasta Point,,2024-01-11 19:00:00,49.0,Burger,1,170,23,Cash,2.0
261,1826,Sushi World,cairo,2024-01-11 20:00:00,37.0,Burger,2,175,28,Cash,4.0
262,1373,Kebab House,alex,2024-01-11 21:00:00,47.0,Sushi,1,183,12,Cash,1.0
263,1671,Sushi World,Alex,2024-01-11 22:00:00,48.0,Pizza,2,204,7,Cash,1.0
264,1607,Pizza Hub,alex,2024-01-11 23:00:00,28.0,Pasta,2,297,21,Card,2.0
265,1471,Pasta Point,CAIRO,2024-01-12 00:00:00,25.0,Burger,2,189,20,Card,4.0
266,1232,Sushi World,alex,2024-01-12 01:00:00,35.0,Burger,1,111,28,Wallet,1.0
267,1691,Sushi World,alex,2024-01-12 02:00:00,45.0,Burger,2,229,1,Wallet,5.0
268,1112,Pizza Hub,Alex,2024-01-12 03:00:00,36.0,Pizza,4,225,8,Wallet,4.0
269,1829,Burger Town,Giza,2024-01-12 04:00:00,16.0,Kebab,4,116,16,Wallet,
270,1496,Kebab House,Alex,2024-01-12 05:00:00,25.0,Sushi,4,223,26,Cash,4.0
271,1441,Burger Town,CAIRO,2024-01-12 06:00:00,34.0,Pizza,1,274,17,Card,3.0
